Country,Year,any_all,any_married,any_modern_all,any_active_unmarried,any_modern_married,any_modern_active_unmarried
Argentina,1970 [YR1970],..,..,..,..,..,..
Argentina,1971 [YR1971],..,..,..,..,..,..
Argentina,1972 [YR1972],..,..,..,..,..,..
Argentina,1973 [YR1973],..,..,..,..,..,..
Argentina,1974 [YR1974],..,..,..,..,..,..
Argentina,1975 [YR1975],..,..,..,..,..,..
Argentina,1976 [YR1976],..,..,..,..,..,..
Argentina,1977 [YR1977],..,..,..,..,..,..
Argentina,1978 [YR1978],..,..,..,..,..,..
Argentina,1979 [YR1979],..,..,..,..,..,..
Argentina,1980 [YR1980],..,..,..,..,..,..
Argentina,1981 [YR1981],..,..,..,..,..,..
Argentina,1982 [YR1982],..,..,..,..,..,..
Argentina,1983 [YR1983],..,..,..,..,..,..
Argentina,1984 [YR1984],..,..,..,..,..,..
Argentina,1985 [YR1985],..,..,..,..,..,..
Argentina,1986 [YR1986],..,..,..,..,..,..
Argentina,1987 [YR1987],..,..,..,..,..,..
Argentina,1988 [YR1988],..,..,..,..,..,..
Argentina,1989 [YR1989],..,..,..,..,..,..
Argentina,1990 [YR1990],..,..,..,..,..,..
Argentina,1991 [YR1991],..,..,..,..,..,..
Argentina,1992 [YR1992],..,..,..,..,..,..
Argentina,1993 [YR1993],..,..,..,..,..,..
Argentina,1994 [YR1994],..,..,..,..,..,..
Argentina,1995 [YR1995],..,..,..,..,..,..
Argentina,1996 [YR1996],..,..,..,..,..,..
Argentina,1997 [YR1997],..,..,..,..,..,..
Argentina,1998 [YR1998],..,..,..,..,..,..
Argentina,1999 [YR1999],..,..,..,..,..,..
Argentina,2000 [YR2000],..,..,..,..,..,..
Argentina,2001 [YR2001],65.3,..,63.8,..,..,..
Argentina,2002 [YR2002],..,..,..,..,..,..
Argentina,2003 [YR2003],..,..,..,..,..,..
Argentina,2004 [YR2004],..,..,..,..,..,..
Argentina,2005 [YR2005],78.9,..,69.9,..,..,..
Argentina,2006 [YR2006],..,..,..,..,..,..
Argentina,2007 [YR2007],..,..,..,..,..,..
Argentina,2008 [YR2008],..,..,..,..,..,..
Argentina,2009 [YR2009],..,..,..,..,..,..
Argentina,2010 [YR2010],..,..,..,..,..,..
Argentina,2011 [YR2011],..,..,..,..,..,..
Argentina,2012 [YR2012],55.4,..,53.5,..,..,..
Argentina,2013 [YR2013],59.3,72.4,57.2,..,68.9,..
Argentina,2014 [YR2014],..,..,..,..,..,..
Argentina,2015 [YR2015],..,..,..,..,..,..
Argentina,2016 [YR2016],..,..,..,..,..,..
Argentina,2017 [YR2017],..,..,..,..,..,..
Argentina,2018 [YR2018],..,..,..,..,..,..
Argentina,2019 [YR2019],..,..,..,..,..,..
Argentina,2020 [YR2020],59.1,70.1,56.8,..,67.2,..
Argentina,2021 [YR2021],..,..,..,..,..,..
Argentina,2022 [YR2022],..,..,..,..,..,..
Argentina,2023 [YR2023],..,..,..,..,..,..
Bolivia,1970 [YR1970],..,..,..,..,..,..
Bolivia,1971 [YR1971],..,..,..,..,..,..
Bolivia,1972 [YR1972],..,..,..,..,..,..
Bolivia,1973 [YR1973],..,..,..,..,..,..
Bolivia,1974 [YR1974],..,..,..,..,..,..
Bolivia,1975 [YR1975],..,..,..,..,..,..
Bolivia,1976 [YR1976],..,..,..,..,..,..
Bolivia,1977 [YR1977],..,..,..,..,..,..
Bolivia,1978 [YR1978],..,..,..,..,..,..
Bolivia,1979 [YR1979],..,..,..,..,..,..
Bolivia,1980 [YR1980],..,..,..,..,..,..
Bolivia,1981 [YR1981],..,..,..,..,..,..
Bolivia,1982 [YR1982],..,..,..,..,..,..
Bolivia,1983 [YR1983],..,..,..,..,..,..
Bolivia,1984 [YR1984],..,..,..,..,..,..
Bolivia,1985 [YR1985],..,..,..,..,..,..
Bolivia,1986 [YR1986],..,..,..,..,..,..
Bolivia,1987 [YR1987],..,..,..,..,..,..
Bolivia,1988 [YR1988],..,..,..,..,..,..
Bolivia,1989 [YR1989],19.9,30.3,8,31.8,12.2,13
Bolivia,1990 [YR1990],..,..,..,..,..,..
Bolivia,1991 [YR1991],..,..,..,..,..,..
Bolivia,1992 [YR1992],..,..,..,..,..,..
Bolivia,1993 [YR1993],..,..,..,..,..,..
Bolivia,1994 [YR1994],30.1,45.3,11.9,61.9,17.8,23.9
Bolivia,1995 [YR1995],..,..,..,..,..,..
Bolivia,1996 [YR1996],..,..,..,..,..,..
Bolivia,1997 [YR1997],..,..,..,..,..,..
Bolivia,1998 [YR1998],31.4,48.3,16.5,61.2,25.2,37.8
Bolivia,1999 [YR1999],..,..,..,..,..,..
Bolivia,2000 [YR2000],..,53.4,..,..,30.5,..
Bolivia,2001 [YR2001],..,..,..,..,..,..
Bolivia,2002 [YR2002],..,..,..,..,..,..
Bolivia,2003 [YR2003],39.3,58.4,23.7,65.3,34.9,38.9
Bolivia,2004 [YR2004],39.3,58.4,23.7,..,34.9,..
Bolivia,2005 [YR2005],..,..,..,..,..,..
Bolivia,2006 [YR2006],..,..,..,..,..,..
Bolivia,2007 [YR2007],..,..,..,..,..,..
Bolivia,2008 [YR2008],41.4,60.6,24,77.7,34.6,48.1
Bolivia,2009 [YR2009],..,..,..,..,..,..
Bolivia,2010 [YR2010],..,..,..,..,..,..
Bolivia,2011 [YR2011],..,..,..,..,..,..
Bolivia,2012 [YR2012],..,..,..,..,..,..
Bolivia,2013 [YR2013],..,..,..,..,..,..
Bolivia,2014 [YR2014],..,..,..,..,..,..
Bolivia,2015 [YR2015],..,..,..,..,..,..
Bolivia,2016 [YR2016],46.3,66.5,32.4,..,45.1,..
Bolivia,2017 [YR2017],..,..,..,..,..,..
Bolivia,2018 [YR2018],..,..,..,..,..,..
Bolivia,2019 [YR2019],..,..,..,..,..,..
Bolivia,2020 [YR2020],..,..,..,..,..,..
Bolivia,2021 [YR2021],..,..,..,..,..,..
Bolivia,2022 [YR2022],..,..,..,..,..,..
Bolivia,2023 [YR2023],..,..,..,..,..,..
Brazil,1970 [YR1970],..,..,..,..,..,..
Brazil,1971 [YR1971],..,..,..,..,..,..
Brazil,1972 [YR1972],..,..,..,..,..,..
Brazil,1973 [YR1973],..,..,..,..,..,..
Brazil,1974 [YR1974],..,..,..,..,..,..
Brazil,1975 [YR1975],..,..,..,..,..,..
Brazil,1976 [YR1976],..,..,..,..,..,..
Brazil,1977 [YR1977],..,..,..,..,..,..
Brazil,1978 [YR1978],..,..,..,..,..,..
Brazil,1979 [YR1979],..,..,..,..,..,..
Brazil,1980 [YR1980],..,..,..,..,..,..
Brazil,1981 [YR1981],..,..,..,..,..,..
Brazil,1982 [YR1982],..,..,..,..,..,..
Brazil,1983 [YR1983],..,..,..,..,..,..
Brazil,1984 [YR1984],..,..,..,..,..,..
Brazil,1985 [YR1985],..,..,..,..,..,..
Brazil,1986 [YR1986],43.7,66.2,37.3,67.4,56.5,56.1
Brazil,1987 [YR1987],..,..,..,..,..,..
Brazil,1988 [YR1988],..,..,..,..,..,..
Brazil,1989 [YR1989],..,..,..,..,..,..
Brazil,1990 [YR1990],..,..,..,..,..,..
Brazil,1991 [YR1991],..,..,..,..,..,..
Brazil,1992 [YR1992],..,..,..,..,..,..
Brazil,1993 [YR1993],..,..,..,..,..,..
Brazil,1994 [YR1994],..,..,..,..,..,..
Brazil,1995 [YR1995],..,..,..,..,..,..
Brazil,1996 [YR1996],55.4,76.7,51,77.3,70.3,71.7
Brazil,1997 [YR1997],..,..,..,..,..,..
Brazil,1998 [YR1998],..,..,..,..,..,..
Brazil,1999 [YR1999],..,..,..,..,..,..
Brazil,2000 [YR2000],..,..,..,..,..,..
Brazil,2001 [YR2001],..,..,..,..,..,..
Brazil,2002 [YR2002],..,..,..,..,..,..
Brazil,2003 [YR2003],..,..,..,..,..,..
Brazil,2004 [YR2004],..,..,..,..,..,..
Brazil,2005 [YR2005],..,..,..,..,..,..
Brazil,2006 [YR2006],..,..,..,..,..,..
Brazil,2007 [YR2007],67.8,80.6,65.2,..,77.1,..
Brazil,2008 [YR2008],..,..,..,..,..,..
Brazil,2009 [YR2009],..,..,..,..,..,..
Brazil,2010 [YR2010],..,..,..,..,..,..
Brazil,2011 [YR2011],..,..,..,..,..,..
Brazil,2012 [YR2012],..,..,..,..,..,..
Brazil,2013 [YR2013],68.4,80.2,66.6,..,77.7,..
Brazil,2014 [YR2014],..,..,..,..,..,..
Brazil,2015 [YR2015],..,..,..,..,..,..
Brazil,2016 [YR2016],..,..,..,..,..,..
Brazil,2017 [YR2017],..,..,..,..,..,..
Brazil,2018 [YR2018],..,..,..,..,..,..
Brazil,2019 [YR2019],80.5,..,79.5,..,..,..
Brazil,2020 [YR2020],..,..,..,..,..,..
Brazil,2021 [YR2021],..,..,..,..,..,..
