country_code,country_name,year,fertility_rate_15_19,fertility_rate_20_24,fertility_rate_25_29,fertility_rate_30_34,fertility_rate_35_39,fertility_rate_40_44,fertility_rate_45_49,total_fertility_rate,gross_reproduction_rate,sex_ratio_at_birth,infant_mortality,life_expectancy,infant_mortality_female,life_expectancy_female
AR,Argentina,1980,83.2,182.4,188,138.5,78.1,25.7,3.4,3.497,1.7146,1.0395,32.28,70.22,28.85,73.71
AR,Argentina,1981,81.4,176.5,180.4,132.6,73.8,24.5,3.2,3.3621,1.642,1.0475,32.06,70.2,28.77,73.83
AR,Argentina,1982,76.2,168.6,174.2,129.1,72.6,24.1,3,3.2387,1.602,1.0217,29.8,71.2,26.71,74.68
AR,Argentina,1983,73.2,165.3,171.1,125.1,71,23.2,3.2,3.1606,1.5607,1.0251,29.31,70.62,25.51,74.15
AR,Argentina,1984,72.5,161.4,163.1,116.9,66.1,21,2.5,3.0172,1.4873,1.0286,29.23,70.62,25.99,74.12
AR,Argentina,1985,73.6,163.8,165,117,66.4,21.6,2.8,3.0515,1.5017,1.0321,26.01,71.77,22.72,75.14
AR,Argentina,1986,75,168.6,169.1,119.1,67.8,22.2,2.7,3.1227,1.5341,1.0356,26.65,71.98,23.54,75.41
AR,Argentina,1987,72.6,163.8,166.3,116.4,66.1,21.6,2.5,3.0472,1.4944,1.0391,25.67,71.98,22.67,75.48
AR,Argentina,1988,72.9,162.2,168.6,118,66.5,21.6,2.6,3.0623,1.4993,1.0425,25.34,72.04,22.08,75.52
AR,Argentina,1989,69.8,156.1,163.9,115.1,63.7,20.4,2.4,2.9575,1.4455,1.046,24.73,72.41,21.92,75.92
AR,Argentina,1990,70.4,154.4,163.9,116.8,64,20.6,2.4,2.9624,1.4454,1.0495,25.14,72.38,22.34,75.87
AR,Argentina,1991,76.3,159.3,168.8,121,65.5,21,2.8,3.0735,1.4971,1.053,24.76,72.15,22,75.85
AR,Argentina,1992,70.4,147.1,157.1,113.9,62,19.6,2.5,2.8627,1.3921,1.0564,22.75,72.77,20.54,76.37
AR,Argentina,1993,68.2,142.8,149.9,111.3,59.8,19.1,2.3,2.7669,1.352,1.0465,22.42,72.89,20.06,76.53
